Notes,State,State Code,Year,Year Code,UCD - ICD Chapter,UCD - ICD Chapter Code,MCD - Drug/Alcohol Induced,MCD - Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
Total,South Carolina,45,2019,2019,External causes of morbidity and mortality,V01-Y89,,,1127,5148714,21.9
Total,South Carolina,45,2019,2019,,,,,1127,5148714,21.9
Total,South Carolina,45,,,,,,,12307,95461790,12.9
,South Dakota,46,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,17,750412,Unreliable
Total,South Dakota,46,1999,1999,External causes of morbidity and mortality,V01-Y89,,,17,750412,Unreliable
Total,South Dakota,46,1999,1999,,,,,17,750412,Unreliable
,South Dakota,46,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,20,754844,2.6
Total,South Dakota,46,2000,2000,External causes of morbidity and mortality,V01-Y89,,,20,754844,2.6
Total,South Dakota,46,2000,2000,,,,,20,754844,2.6
,South Dakota,46,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,24,757972,3.2
Total,South Dakota,46,2001,2001,External causes of morbidity and mortality,V01-Y89,,,24,757972,3.2
Total,South Dakota,46,2001,2001,,,,,24,757972,3.2
,South Dakota,46,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,22,760020,2.9
Total,South Dakota,46,2002,2002,External causes of morbidity and mortality,V01-Y89,,,22,760020,2.9
Total,South Dakota,46,2002,2002,,,,,22,760020,2.9
,South Dakota,46,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,24,763729,3.1
Total,South Dakota,46,2003,2003,External causes of morbidity and mortality,V01-Y89,,,24,763729,3.1
Total,South Dakota,46,2003,2003,,,,,24,763729,3.1
,South Dakota,46,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,43,770396,5.6
Total,South Dakota,46,2004,2004,External causes of morbidity and mortality,V01-Y89,,,43,770396,5.6
Total,South Dakota,46,2004,2004,,,,,43,770396,5.6
,South Dakota,46,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,40,775493,5.2
Total,South Dakota,46,2005,2005,External causes of morbidity and mortality,V01-Y89,,,40,775493,5.2
Total,South Dakota,46,2005,2005,,,,,40,775493,5.2
,South Dakota,46,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,37,783033,4.7
Total,South Dakota,46,2006,2006,External causes of morbidity and mortality,V01-Y89,,,37,783033,4.7
Total,South Dakota,46,2006,2006,,,,,37,783033,4.7
,South Dakota,46,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,32,791623,4
Total,South Dakota,46,2007,2007,External causes of morbidity and mortality,V01-Y89,,,32,791623,4
Total,South Dakota,46,2007,2007,,,,,32,791623,4
,South Dakota,46,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,54,799124,6.8
Total,South Dakota,46,2008,2008,External causes of morbidity and mortality,V01-Y89,,,54,799124,6.8
Total,South Dakota,46,2008,2008,,,,,54,799124,6.8
,South Dakota,46,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,49,807067,6.1
Total,South Dakota,46,2009,2009,External causes of morbidity and mortality,V01-Y89,,,49,807067,6.1
Total,South Dakota,46,2009,2009,,,,,49,807067,6.1
,South Dakota,46,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,45,814180,5.5
Total,South Dakota,46,2010,2010,External causes of morbidity and mortality,V01-Y89,,,45,814180,5.5
Total,South Dakota,46,2010,2010,,,,,45,814180,5.5
,South Dakota,46,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,57,824082,6.9
Total,South Dakota,46,2011,2011,External causes of morbidity and mortality,V01-Y89,,,57,824082,6.9
Total,South Dakota,46,2011,2011,,,,,57,824082,6.9
,South Dakota,46,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,42,833354,5
Total,South Dakota,46,2012,2012,External causes of morbidity and mortality,V01-Y89,,,42,833354,5
Total,South Dakota,46,2012,2012,,,,,42,833354,5
,South Dakota,46,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,55,844877,6.5
Total,South Dakota,46,2013,2013,External causes of morbidity and mortality,V01-Y89,,,55,844877,6.5
Total,South Dakota,46,2013,2013,,,,,55,844877,6.5
,South Dakota,46,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,63,853175,7.4
Total,South Dakota,46,2014,2014,External causes of morbidity and mortality,V01-Y89,,,63,853175,7.4
Total,South Dakota,46,2014,2014,,,,,63,853175,7.4
,South Dakota,46,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,65,858469,7.6
Total,South Dakota,46,2015,2015,External causes of morbidity and mortality,V01-Y89,,,65,858469,7.6
Total,South Dakota,46,2015,2015,,,,,65,858469,7.6
,South Dakota,46,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,69,865454,8
Total,South Dakota,46,2016,2016,External causes of morbidity and mortality,V01-Y89,,,69,865454,8
Total,South Dakota,46,2016,2016,,,,,69,865454,8
,South Dakota,46,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,73,869666,8.4
Total,South Dakota,46,2017,2017,External causes of morbidity and mortality,V01-Y89,,,73,869666,8.4
Total,South Dakota,46,2017,2017,,,,,73,869666,8.4
,South Dakota,46,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,57,882235,6.5
Total,South Dakota,46,2018,2018,External causes of morbidity and mortality,V01-Y89,,,57,882235,6.5
Total,South Dakota,46,2018,2018,,,,,57,882235,6.5
,South Dakota,46,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,86,884659,9.7
Total,South Dakota,46,2019,2019,External causes of morbidity and mortality,V01-Y89,,,86,884659,9.7
Total,South Dakota,46,2019,2019,,,,,86,884659,9.7
Total,South Dakota,46,,,,,,,974,17043864,5.7
,Tennessee,47,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,344,5638706,6.1
Total,Tennessee,47,1999,1999,External causes of morbidity and mortality,V01-Y89,,,344,5638706,6.1
Total,Tennessee,47,1999,1999,,,,,344,5638706,6.1
,Tennessee,47,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,395,5689283,6.9
Total,Tennessee,47,2000,2000,External causes of morbidity and mortality,V01-Y89,,,395,5689283,6.9
Total,Tennessee,47,2000,2000,,,,,395,5689283,6.9
,Tennessee,47,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,423,5750789,7.4
Total,Tennessee,47,2001,2001,External causes of morbidity and mortality,V01-Y89,,,423,5750789,7.4
Total,Tennessee,47,2001,2001,,,,,423,5750789,7.4
,Tennessee,47,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,491,5795918,8.5
Total,Tennessee,47,2002,2002,External causes of morbidity and mortality,V01-Y89,,,491,5795918,8.5
Total,Tennessee,47,2002,2002,,,,,491,5795918,8.5
,Tennessee,47,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,661,5847812,11.3
Total,Tennessee,47,2003,2003,External causes of morbidity and mortality,V01-Y89,,,661,5847812,11.3
Total,Tennessee,47,2003,2003,,,,,661,5847812,11.3
,Tennessee,47,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,763,5910809,12.9
Total,Tennessee,47,2004,2004,External causes of morbidity and mortality,V01-Y89,,,763,5910809,12.9
Total,Tennessee,47,2004,2004,,,,,763,5910809,12.9
,Tennessee,47,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,872,5991057,14.6
Total,Tennessee,47,2005,2005,External causes of morbidity and mortality,V01-Y89,,,872,5991057,14.6
Total,Tennessee,47,2005,2005,,,,,872,5991057,14.6
,Tennessee,47,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,974,6088766,16
Total,Tennessee,47,2006,2006,External causes of morbidity and mortality,V01-Y89,,,974,6088766,16
Total,Tennessee,47,2006,2006,,,,,974,6088766,16
,Tennessee,47,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,981,6175727,15.9
Total,Tennessee,47,2007,2007,External causes of morbidity and mortality,V01-Y89,,,981,6175727,15.9
Total,Tennessee,47,2007,2007,,,,,981,6175727,15.9
,Tennessee,47,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,937,6247411,15
Total,Tennessee,47,2008,2008,External causes of morbidity and mortality,V01-Y89,,,937,6247411,15
Total,Tennessee,47,2008,2008,,,,,937,6247411,15
,Tennessee,47,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,961,6306019,15.2
Total,Tennessee,47,2009,2009,External causes of morbidity and mortality,V01-Y89,,,961,6306019,15.2
Total,Tennessee,47,2009,2009,,,,,961,6306019,15.2
,Tennessee,47,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1080,6346105,17
Total,Tennessee,47,2010,2010,External causes of morbidity and mortality,V01-Y89,,,1080,6346105,17
Total,Tennessee,47,2010,2010,,,,,1080,6346105,17
,Tennessee,47,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1090,6403353,17
Total,Tennessee,47,2011,2011,External causes of morbidity and mortality,V01-Y89,,,1090,6403353,17
Total,Tennessee,47,2011,2011,,,,,1090,6403353,17
,Tennessee,47,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1130,6456243,17.5
Total,Tennessee,47,2012,2012,External causes of morbidity and mortality,V01-Y89,,,1130,6456243,17.5
Total,Tennessee,47,2012,2012,,,,,1130,6456243,17.5
,Tennessee,47,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1186,6495978,18.3
Total,Tennessee,47,2013,2013,External causes of morbidity and mortality,V01-Y89,,,1186,6495978,18.3
Total,Tennessee,47,2013,2013,,,,,1186,6495978,18.3
,Tennessee,47,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1268,6549352,19.4
Total,Tennessee,47,2014,2014,External causes of morbidity and mortality,V01-Y89,,,1268,6549352,19.4
Total,Tennessee,47,2014,2014,,,,,1268,6549352,19.4
,Tennessee,47,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1457,6600299,22.1
Total,Tennessee,47,2015,2015,External causes of morbidity and mortality,V01-Y89,,,1457,6600299,22.1
Total,Tennessee,47,2015,2015,,,,,1457,6600299,22.1
,Tennessee,47,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1630,6651194,24.5
Total,Tennessee,47,2016,2016,External causes of morbidity and mortality,V01-Y89,,,1630,6651194,24.5
Total,Tennessee,47,2016,2016,,,,,1630,6651194,24.5
,Tennessee,47,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1772,6715984,26.4
Total,Tennessee,47,2017,2017,External causes of morbidity and mortality,V01-Y89,,,1772,6715984,26.4
Total,Tennessee,47,2017,2017,,,,,1772,6715984,26.4
,Tennessee,47,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1823,6770010,26.9
Total,Tennessee,47,2018,2018,External causes of morbidity and mortality,V01-Y89,,,1823,6770010,26.9
Total,Tennessee,47,2018,2018,,,,,1823,6770010,26.9
,Tennessee,47,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,2087,6829174,30.6
Total,Tennessee,47,2019,2019,External causes of morbidity and mortality,V01-Y89,,,2087,6829174,30.6
Total,Tennessee,47,2019,2019,,,,,2087,6829174,30.6
Total,Tennessee,47,,,,,,,22325,131259989,17
,Texas,48,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1086,20558220,5.3
Total,Texas,48,1999,1999,External causes of morbidity and mortality,V01-Y89,,,1086,20558220,5.3
Total,Texas,48,1999,1999,,,,,1086,20558220,5.3
,Texas,48,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1019,20851820,4.9
Total,Texas,48,2000,2000,External causes of morbidity and mortality,V01-Y89,,,1019,20851820,4.9
Total,Texas,48,2000,2000,,,,,1019,20851820,4.9
,Texas,48,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1373,21319622,6.4
Total,Texas,48,2001,2001,External causes of morbidity and mortality,V01-Y89,,,1373,21319622,6.4
Total,Texas,48,2001,2001,,,,,1373,21319622,6.4
,Texas,48,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1593,21690325,7.3
Total,Texas,48,2002,2002,External causes of morbidity and mortality,V01-Y89,,,1593,21690325,7.3
Total,Texas,48,2002,2002,,,,,1593,21690325,7.3
,Texas,48,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1750,22030931,7.9
Total,Texas,48,2003,2003,External causes of morbidity and mortality,V01-Y89,,,1750,22030931,7.9
Total,Texas,48,2003,2003,,,,,1750,22030931,7.9
,Texas,48,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1809,22394023,8.1
Total,Texas,48,2004,2004,External causes of morbidity and mortality,V01-Y89,,,1809,22394023,8.1
Total,Texas,48,2004,2004,,,,,1809,22394023,8.1
,Texas,48,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1905,22778123,8.4
Total,Texas,48,2005,2005,External causes of morbidity and mortality,V01-Y89,,,1905,22778123,8.4
Total,Texas,48,2005,2005,,,,,1905,22778123,8.4
,Texas,48,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,2189,23359580,9.4
Total,Texas,48,2006,2006,External causes of morbidity and mortality,V01-Y89,,,2189,23359580,9.4
Total,Texas,48,2006,2006,,,,,2189,23359580,9.4
,Texas,48,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,2194,23831983,9.2
Total,Texas,48,2007,2007,External causes of morbidity and mortality,V01-Y89,,,2194,23831983,9.2
Total,Texas,48,2007,2007,,,,,2194,23831983,9.2
,Texas,48,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,2050,24309039,8.4
Total,Texas,48,2008,2008,External causes of morbidity and mortality,V01-Y89,,,2050,24309039,8.4
Total,Texas,48,2008,2008,,,,,2050,24309039,8.4
,Texas,48,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,2407,24801761,9.7
Total,Texas,48,2009,2009,External causes of morbidity and mortality,V01-Y89,,,2407,24801761,9.7
Total,Texas,48,2009,2009,,,,,2407,24801761,9.7
,Texas,48,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,2393,25145561,9.5
Total,Texas,48,2010,2010,External causes of morbidity and mortality,V01-Y89,,,2393,25145561,9.5
Total,Texas,48,2010,2010,,,,,2393,25145561,9.5
,Texas,48,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,2587,25674681,10.1
Total,Texas,48,2011,2011,External causes of morbidity and mortality,V01-Y89,,,2587,25674681,10.1
Total,Texas,48,2011,2011,,,,,2587,25674681,10.1
,Texas,48,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,2446,26059203,9.4
Total,Texas,48,2012,2012,External causes of morbidity and mortality,V01-Y89,,,2446,26059203,9.4
Total,Texas,48,2012,2012,,,,,2446,26059203,9.4
,Texas,48,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,2445,26448193,9.2
Total,Texas,48,2013,2013,External causes of morbidity and mortality,V01-Y89,,,2445,26448193,9.2
Total,Texas,48,2013,2013,,,,,2445,26448193,9.2
,Texas,48,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,2598,26956958,9.6
Total,Texas,48,2014,2014,External causes of morbidity and mortality,V01-Y89,,,2598,26956958,9.6
Total,Texas,48,2014,2014,,,,,2598,26956958,9.6
,Texas,48,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,2585,27469114,9.4
Total,Texas,48,2015,2015,External causes of morbidity and mortality,V01-Y89,,,2585,27469114,9.4
Total,Texas,48,2015,2015,,,,,2585,27469114,9.4
,Texas,48,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,2831,27862596,10.2
Total,Texas,48,2016,2016,External causes of morbidity and mortality,V01-Y89,,,2831,27862596,10.2
Total,Texas,48,2016,2016,,,,,2831,27862596,10.2
,Texas,48,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,2985,28304596,10.5
Total,Texas,48,2017,2017,External causes of morbidity and mortality,V01-Y89,,,2985,28304596,10.5
Total,Texas,48,2017,2017,,,,,2985,28304596,10.5
,Texas,48,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,3002,28701845,10.5
Total,Texas,48,2018,2018,External causes of morbidity and mortality,V01-Y89,,,3002,28701845,10.5
Total,Texas,48,2018,2018,,,,,3002,28701845,10.5
,Texas,48,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,3132,28995881,10.8
Total,Texas,48,2019,2019,External causes of morbidity and mortality,V01-Y89,,,3132,28995881,10.8
Total,Texas,48,2019,2019,,,,,3132,28995881,10.8
Total,Texas,48,,,,,,,46379,519544055,8.9
,Utah,49,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,205,2203482,9.3
Total,Utah,49,1999,1999,External causes of morbidity and mortality,V01-Y89,,,205,2203482,9.3
Total,Utah,49,1999,1999,,,,,205,2203482,9.3
,Utah,49,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,210,2233169,9.4
Total,Utah,49,2000,2000,External causes of morbidity and mortality,V01-Y89,,,210,2233169,9.4
Total,Utah,49,2000,2000,,,,,210,2233169,9.4
,Utah,49,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,209,2283715,9.2
Total,Utah,49,2001,2001,External causes of morbidity and mortality,V01-Y89,,,209,2283715,9.2
Total,Utah,49,2001,2001,,,,,209,2283715,9.2
,Utah,49,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,288,2324815,12.4
Total,Utah,49,2002,2002,External causes of morbidity and mortality,V01-Y89,,,288,2324815,12.4
Total,Utah,49,2002,2002,,,,,288,2324815,12.4
,Utah,49,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,353,2360137,15
Total,Utah,49,2003,2003,External causes of morbidity and mortality,V01-Y89,,,353,2360137,15
Total,Utah,49,2003,2003,,,,,353,2360137,15
,Utah,49,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,358,2401580,14.9
Total,Utah,49,2004,2004,External causes of morbidity and mortality,V01-Y89,,,358,2401580,14.9
Total,Utah,49,2004,2004,,,,,358,2401580,14.9
,Utah,49,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,437,2457719,17.8
Total,Utah,49,2005,2005,External causes of morbidity and mortality,V01-Y89,,,437,2457719,17.8
Total,Utah,49,2005,2005,,,,,437,2457719,17.8
,Utah,49,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,444,2525507,17.6
Total,Utah,49,2006,2006,External causes of morbidity and mortality,V01-Y89,,,444,2525507,17.6
Total,Utah,49,2006,2006,,,,,444,2525507,17.6
,Utah,49,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,510,2597746,19.6
Total,Utah,49,2007,2007,External causes of morbidity and mortality,V01-Y89,,,510,2597746,19.6
Total,Utah,49,2007,2007,,,,,510,2597746,19.6
,Utah,49,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,468,2663029,17.6
Total,Utah,49,2008,2008,External causes of morbidity and mortality,V01-Y89,,,468,2663029,17.6
Total,Utah,49,2008,2008,,,,,468,2663029,17.6
,Utah,49,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,478,2723421,17.6
Total,Utah,49,2009,2009,External causes of morbidity and mortality,V01-Y89,,,478,2723421,17.6
Total,Utah,49,2009,2009,,,,,478,2723421,17.6
,Utah,49,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,433,2763885,15.7
Total,Utah,49,2010,2010,External causes of morbidity and mortality,V01-Y89,,,433,2763885,15.7
Total,Utah,49,2010,2010,,,,,433,2763885,15.7
,Utah,49,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,503,2817222,17.9
Total,Utah,49,2011,2011,External causes of morbidity and mortality,V01-Y89,,,503,2817222,17.9
Total,Utah,49,2011,2011,,,,,503,2817222,17.9
,Utah,49,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,601,2855287,21
Total,Utah,49,2012,2012,External causes of morbidity and mortality,V01-Y89,,,601,2855287,21
Total,Utah,49,2012,2012,,,,,601,2855287,21
,Utah,49,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,593,2900872,20.4
Total,Utah,49,2013,2013,External causes of morbidity and mortality,V01-Y89,,,593,2900872,20.4
Total,Utah,49,2013,2013,,,,,593,2900872,20.4
,Utah,49,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,603,2942902,20.5
Total,Utah,49,2014,2014,External causes of morbidity and mortality,V01-Y89,,,603,2942902,20.5
Total,Utah,49,2014,2014,,,,,603,2942902,20.5
,Utah,49,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,646,2995919,21.6
Total,Utah,49,2015,2015,External causes of morbidity and mortality,V01-Y89,,,646,2995919,21.6
Total,Utah,49,2015,2015,,,,,646,2995919,21.6
,Utah,49,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,635,3051217,20.8
Total,Utah,49,2016,2016,External causes of morbidity and mortality,V01-Y89,,,635,3051217,20.8
Total,Utah,49,2016,2016,,,,,635,3051217,20.8
,Utah,49,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,650,3101833,21
Total,Utah,49,2017,2017,External causes of morbidity and mortality,V01-Y89,,,650,3101833,21
Total,Utah,49,2017,2017,,,,,650,3101833,21
,Utah,49,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,623,3161105,19.7
Total,Utah,49,2018,2018,External causes of morbidity and mortality,V01-Y89,,,623,3161105,19.7
Total,Utah,49,2018,2018,,,,,623,3161105,19.7
,Utah,49,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,571,3205958,17.8
Total,Utah,49,2019,2019,External causes of morbidity and mortality,V01-Y89,,,571,3205958,17.8
Total,Utah,49,2019,2019,,,,,571,3205958,17.8
Total,Utah,49,,,,,,,9818,56570520,17.4
,Vermont,50,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,29,604683,4.8
Total,Vermont,50,1999,1999,External causes of morbidity and mortality,V01-Y89,,,29,604683,4.8
Total,Vermont,50,1999,1999,,,,,29,604683,4.8
,Vermont,50,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,36,608827,5.9
Total,Vermont,50,2000,2000,External causes of morbidity and mortality,V01-Y89,,,36,608827,5.9
Total,Vermont,50,2000,2000,,,,,36,608827,5.9
,Vermont,50,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,44,612223,7.2
Total,Vermont,50,2001,2001,External causes of morbidity and mortality,V01-Y89,,,44,612223,7.2
Total,Vermont,50,2001,2001,,,,,44,612223,7.2
,Vermont,50,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,47,615442,7.6
Total,Vermont,50,2002,2002,External causes of morbidity and mortality,V01-Y89,,,47,615442,7.6
Total,Vermont,50,2002,2002,,,,,47,615442,7.6
,Vermont,50,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,65,617858,10.5
Total,Vermont,50,2003,2003,External causes of morbidity and mortality,V01-Y89,,,65,617858,10.5
Total,Vermont,50,2003,2003,,,,,65,617858,10.5
,Vermont,50,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,50,619920,8.1
Total,Vermont,50,2004,2004,External causes of morbidity and mortality,V01-Y89,,,50,619920,8.1
Total,Vermont,50,2004,2004,,,,,50,619920,8.1
,Vermont,50,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,53,621215,8.5
Total,Vermont,50,2005,2005,External causes of morbidity and mortality,V01-Y89,,,53,621215,8.5
Total,Vermont,50,2005,2005,,,,,53,621215,8.5
,Vermont,50,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,75,622892,12
Total,Vermont,50,2006,2006,External causes of morbidity and mortality,V01-Y89,,,75,622892,12
Total,Vermont,50,2006,2006,,,,,75,622892,12
,Vermont,50,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,66,623481,10.6
Total,Vermont,50,2007,2007,External causes of morbidity and mortality,V01-Y89,,,66,623481,10.6
Total,Vermont,50,2007,2007,,,,,66,623481,10.6
,Vermont,50,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,73,624151,11.7
Total,Vermont,50,2008,2008,External causes of morbidity and mortality,V01-Y89,,,73,624151,11.7
Total,Vermont,50,2008,2008,,,,,73,624151,11.7
,Vermont,50,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,55,624817,8.8
Total,Vermont,50,2009,2009,External causes of morbidity and mortality,V01-Y89,,,55,624817,8.8
Total,Vermont,50,2009,2009,,,,,55,624817,8.8
,Vermont,50,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,63,625741,10.1
Total,Vermont,50,2010,2010,External causes of morbidity and mortality,V01-Y89,,,63,625741,10.1
Total,Vermont,50,2010,2010,,,,,63,625741,10.1
,Vermont,50,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,83,626431,13.2
Total,Vermont,50,2011,2011,External causes of morbidity and mortality,V01-Y89,,,83,626431,13.2
Total,Vermont,50,2011,2011,,,,,83,626431,13.2
,Vermont,50,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,70,626011,11.2
Total,Vermont,50,2012,2012,External causes of morbidity and mortality,V01-Y89,,,70,626011,11.2
Total,Vermont,50,2012,2012,,,,,70,626011,11.2
